,STATE,CountyNo,BelowUni,AboveUni
346,NY,29,34.79029083251953,65.20970916748047
347,MI,139,33.767723083496094,66.23227500915527
348,TX,319,33.102012634277344,66.89798927307129
349,RI,0,38.795204162597656,61.20479774475098
350,CA,83,35.08375549316406,64.91624641418457
351,SD,81,32.40453004837036,67.5954704284668
352,TX,339,34.143866539001465,65.85613632202148
353,WY,29,29.411486625671387,70.5885124206543
354,IL,197,34.794607162475586,65.20539283752441
355,TN,189,36.09696960449219,63.90303039550781
356,MI,111,34.6899151802063,65.31008529663086
357,MI,47,30.350950241088867,69.64905166625977
358,OR,27,38.232704162597656,61.767295837402344
359,CA,0,36.44429397583008,63.55570411682129
360,WI,29,34.74803400039673,65.25196266174316
361,NY,85,41.261000633239746,58.73900032043457
362,UT,0,29.804566860198975,70.19543075561523
363,VA,43,37.30046272277832,62.69953536987305
364,IL,89,37.15976619720459,62.84023666381836
365,VA,550,30.490575790405273,69.50942611694336
366,AR,7,39.29775619506836,60.70224189758301
367,MN,13,32.6507363319397,67.34926223754883
368,NJ,41,38.03342151641846,61.966575622558594
369,FL,57,38.18896961212158,61.8110294342041
370,KS,149,34.86328125,65.13672065734863
371,WA,35,26.42166566848755,73.57833480834961
372,OR,0,31.51713275909424,68.48286819458008
373,MN,103,30.776843070983887,69.2231559753418
374,MD,33,38.11755847930908,61.8824405670166
375,CT,11,35.65192985534668,64.34807205200195
376,GA,51,34.00469398498535,65.99530601501465
377,OH,173,35.51989126205444,64.4801082611084
378,VA,840,38.57748222351074,61.42251968383789
379,LA,103,34.69665336608887,65.3033447265625
380,OK,27,32.15851306915283,67.84148788452148
381,AK,220,30.060447216033936,69.9395523071289
382,ME,13,38.83813238143921,61.161865234375
383,MD,9,34.81637239456177,65.18362808227539
384,MN,27,27.790209770202637,72.20978927612305
385,TX,171,40.27983379364014,59.72016716003418
386,CO,39,28.34914255142212,71.65085983276367
387,IL,167,35.05866003036499,64.94134140014648
388,WA,29,26.402067184448242,73.59793472290039
389,VA,157,34.80320739746094,65.19679260253906
390,IA,113,31.74534559249878,68.25465393066406
391,CO,27,25.82135558128357,74.17864608764648
392,WA,37,32.99069023132324,67.00931167602539
393,AL,73,35.81526851654053,64.18473243713379
394,MI,103,33.833505630493164,66.16649627685547
395,IN,5,41.028761863708496,58.97124099731445
396,NC,67,36.06967830657959,63.93032455444336
397,VA,103,40.299546241760254,59.70045280456543
398,KS,0,34.49803638458252,65.50196266174316
399,KY,111,35.34654140472412,64.65346145629883
400,NY,83,34.979464530944824,65.02053642272949
401,CA,111,33.84802532196045,66.15197372436523
402,OH,103,35.980178356170654,64.01981925964355
403,NC,175,33.658424377441406,66.3415756225586
404,IL,203,35.81917428970337,64.18082427978516
405,KY,117,36.931602478027344,63.068397521972656
406,NJ,15,38.44914627075195,61.55085563659668
407,MT,57,31.170559406280518,68.82944107055664
408,NE,19,32.98064613342285,67.01935195922852
409,SC,91,33.776573181152344,66.22342681884766
410,AL,101,37.12462329864502,62.87537384033203
411,NH,5,37.7946720123291,62.205326080322266
412,NY,21,38.343727111816406,61.65627479553223
413,GA,85,38.007338523864746,61.992658615112305
414,SD,99,33.18778705596924,66.81221389770508
415,AZ,19,32.4464750289917,67.55352401733398
416,MI,61,37.76283311843872,62.23716735839844
417,HI,0,34.815133571624756,65.18486785888672
418,NJ,9,38.672696113586426,61.327301025390625
419,CA,37,40.567365646362305,59.432634353637695
420,KS,103,35.5207953453064,64.47920608520508
421,NC,25,34.8223819732666,65.17761993408203
422,FL,85,34.13784980773926,65.86214828491211
423,NY,81,44.269893646240234,55.730106353759766
424,CO,111,35.04950428009033,64.95049667358398
425,OH,35,37.2010440826416,62.7989559173584
426,WI,97,37.848283767700195,62.15171432495117
427,AZ,13,33.96549129486084,66.03450775146484
428,NY,77,38.04315185546875,61.95684814453125
429,PR,63,43.00093460083008,56.99906539916992
430,TN,65,35.95975112915039,64.04024887084961
431,WI,35,30.581459999084473,69.41854095458984
432,NV,29,29.427168369293213,70.57283020019531
433,GA,77,36.86581230163574,63.13418769836426
434,MS,73,36.787503242492676,63.21249580383301
435,AR,143,41.0244836807251,58.97551727294922
436,PR,31,39.98148822784424,60.018510818481445
437,NY,111,37.649231910705566,62.35076904296875
438,MT,0,34.087122440338135,65.91287612915039
439,FL,11,37.62936305999756,62.37063789367676
440,WY,19,29.930768966674805,70.06923294067383
441,SD,79,36.94682788848877,63.053171157836914
442,OK,109,36.89195728302002,63.108041763305664
443,LA,55,40.70827293395996,59.29172706604004
444,IA,17,34.65964221954346,65.34035873413086
445,PA,93,48.279245376586914,51.720754623413086
446,IN,173,34.40574073791504,65.5942611694336
447,TX,143,38.725311279296875,61.274688720703125
448,GA,29,33.17747402191162,66.82252502441406
449,WI,131,34.40059185028076,65.59940719604492
451,MD,510,42.95537757873535,57.04462432861328
452,MO,47,34.6442551612854,65.35574722290039
453,TX,263,32.21757364273071,67.78242492675781
454,MT,111,34.446800231933594,65.5531997680664
455,WA,61,31.082265377044678,68.9177360534668
456,OH,153,37.83767509460449,62.162322998046875
457,NC,149,34.33502960205078,65.66497039794922
458,RI,3,36.3734917640686,63.62650680541992
459,DE,0,40.425522804260254,59.57447814941406
460,PR,25,44.04033660888672,55.95966148376465
461,TX,417,32.44798564910889,67.55201721191406
462,VA,133,39.04967164993286,60.950326919555664
463,TX,439,37.4298734664917,62.570125579833984
464,IA,163,35.14396572113037,64.85603713989258
465,GA,281,35.94416904449463,64.05583000183105
466,TN,149,35.42685651779175,64.57314109802246
467,CO,93,28.96928381919861,71.03071594238281
468,MT,1,35.15395259857178,64.84605026245117
469,NE,0,34.16183567047119,65.83816146850586
470,FL,103,35.601797103881836,64.39820098876953
471,ME,0,38.06878185272217,61.931217193603516
472,TX,113,42.203725814819336,57.796274185180664
473,KS,83,30.740181922912598,69.25981903076172
474,MI,19,35.381165981292725,64.61883544921875
475,GA,145,32.24090576171875,67.75909423828125
476,IL,109,35.56400012969971,64.43600082397461
477,IL,37,33.251885414123535,66.74811553955078
478,TN,157,38.254204750061035,61.74579620361328
479,MI,29,34.236186504364014,65.7638168334961
480,PA,0,43.185194969177246,56.81480598449707
481,AK,90,29.62866973876953,70.37133026123047
482,IN,81,39.19452953338623,60.805471420288086
483,PA,43,41.46757411956787,58.53242874145508
484,TN,179,39.920166015625,60.07983207702637
485,NM,55,33.985527992248535,66.01447296142578
486,TX,201,40.982099533081055,59.017900466918945
487,NY,113,37.41595649719238,62.58404350280762
488,NJ,7,40.71369171142578,59.28631019592285
489,KY,227,38.493571281433105,61.50642967224121
490,IA,59,30.41345453262329,69.58654403686523
491,GA,0,39.64920711517334,60.35079383850098
