,CountyNo,"NativeAmerican (AmericanIndianAlaskaNative, NativeHawaianPacific)","Asian (EastAsian,SouthAsian)",Black, White, Mixed,OtherUnknown,STATE,HHI
319,5,1955,3070,25357,175847,17012,14137,DE,0.5690969599004913
320,1,3625,33545,285810,273194,56077,37294,DC,0.3407058525965475
321,1,961,18076,52156,170245,27508,9522,FL,0.4239973582604984
322,3,136,157,3847,22565,1105,449,FL,0.6579807577579935
323,5,1241,4138,17856,131304,15328,5349,FL,0.5811538715101648
324,7,94,142,5478,20929,1168,492,FL,0.5863067997211179
325,9,2837,15913,58692,448180,60818,20172,FL,0.567090986104512
326,11,8343,75922,531910,776174,384790,167236,FL,0.28229406971692705
327,13,111,46,1682,10741,846,222,FL,0.6387447297415232
328,15,589,2627,9268,157543,12944,3876,FL,0.7188260193451537
329,17,622,2449,4122,134596,9733,2321,FL,0.7706537211374495
330,19,1328,6804,26624,154895,21205,7389,FL,0.5301939778090422
331,21,2142,5571,23349,257007,54936,32747,FL,0.500913278594914
332,23,314,882,11593,50735,4666,1508,FL,0.5626731668265138
333,27,185,192,4270,21320,3956,4053,FL,0.43740200876708546
334,29,65,64,1571,14057,788,214,FL,0.7147313044988477
335,31,4791,49467,292337,514782,89480,44710,FL,0.3661763449267057
336,33,2792,10039,68978,206982,25627,7487,FL,0.46728011912624
337,35,450,2512,10935,87661,10384,3436,FL,0.5957122871832022
338,37,48,30,1422,10002,640,309,FL,0.6616273790205643
339,39,214,148,23435,14936,2242,2851,FL,0.4089646023652455
340,41,79,64,801,15170,1160,590,FL,0.7284805706708937
341,43,202,35,1469,8241,1324,855,FL,0.493730503417998
342,45,80,57,1703,11399,717,236,FL,0.6624047806598887
343,47,58,43,4477,8028,689,709,FL,0.4358474801462445
344,49,197,172,2179,14821,4366,3592,FL,0.3997819392173095
345,51,662,350,4357,18446,7785,8019,FL,0.30879814819308465
346,53,933,2669,10263,152496,20067,8087,FL,0.629992166241612
347,55,561,1644,9891,71549,10951,6639,FL,0.5253545600752522
348,57,8378,71080,237434,767348,246032,129490,FL,0.34146045312573575
349,59,141,90,1237,17063,887,235,FL,0.7600088083999517
350,61,599,2390,13367,122541,14068,6823,FL,0.6049421214453181
351,63,243,294,12150,31381,2265,986,FL,0.5085274399836264
352,65,46,34,4621,8905,588,316,FL,0.4802008643484068
353,67,30,10,1045,6363,356,422,FL,0.6189954772096256
354,69,1971,8566,39544,269452,41402,23021,FL,0.5188462546803915
355,71,4140,13090,58916,530637,97178,56861,FL,0.5146616325332706
356,73,1012,10590,88862,163927,21632,6175,FL,0.4144752745820143
357,75,249,293,3690,34111,3157,1415,FL,0.6457593185546554
358,77,65,18,1357,5926,329,279,FL,0.5842532876946641
359,79,59,46,6310,10425,801,327,FL,0.4622930252377037
360,81,1917,8555,32121,289188,41381,26548,FL,0.5455126088227279
361,83,1698,6072,44411,268563,37299,17865,FL,0.5367649311468571
362,85,1283,2291,7582,124465,13569,9241,FL,0.6304856918785571
363,86,9748,44124,400002,796893,1131581,319419,FL,0.2985920471288123
364,87,409,1170,4807,60153,12477,3858,FL,0.555260785494145
365,89,361,890,5035,77047,5741,1278,FL,0.7346258399629474
366,91,1695,6802,19660,151861,23633,8017,FL,0.5383573843086962
367,93,418,335,3405,27333,4132,4021,FL,0.5040673007830431
368,95,7745,78348,277027,629789,265095,171904,FL,0.2833769090683221
369,97,2591,11803,40775,157720,97607,78160,FL,0.2801678808648189
370,99,10283,44140,262422,855682,208258,111406,FL,0.3857363939588584
371,101,2596,16775,34004,417086,65079,26351,FL,0.5711831378214767
372,103,4413,34167,94154,709036,84462,32875,FL,0.5663727288537515
