,STATE,CountyNo,year,Unemployment
2901,AR,33,2015,5.1
2902,AR,33,2016,3.9
2903,AR,33,2017,3.5
2904,AR,33,2018,3.5
2905,AR,33,2019,3.2
2906,AR,33,2020,5.5
2907,AR,33,2021,3.6
2923,AR,35,2015,6.1
2924,AR,35,2016,4.5
2925,AR,35,2017,4.4
2926,AR,35,2018,4.3
2927,AR,35,2019,4.2
2928,AR,35,2020,8.4
2929,AR,35,2021,5.4
2945,AR,37,2015,5.3
2946,AR,37,2016,4.4
2947,AR,37,2017,4.0
2948,AR,37,2018,4.1
2949,AR,37,2019,4.1
2950,AR,37,2020,6.1
2951,AR,37,2021,4.4
2967,AR,39,2015,6.9
2968,AR,39,2016,4.9
2969,AR,39,2017,4.4
2970,AR,39,2018,4.1
2971,AR,39,2019,4.5
2972,AR,39,2020,5.4
2973,AR,39,2021,4.1
2989,AR,41,2015,7.2
2990,AR,41,2016,5.5
2991,AR,41,2017,4.8
2992,AR,41,2018,4.4
2993,AR,41,2019,4.3
2994,AR,41,2020,7.1
2995,AR,41,2021,5.9
3011,AR,43,2015,6.7
3012,AR,43,2016,5.7
3013,AR,43,2017,5.1
3014,AR,43,2018,4.8
3015,AR,43,2019,5.1
3016,AR,43,2020,6.9
3017,AR,43,2021,5.0
3033,AR,45,2015,4.6
3034,AR,45,2016,3.8
3035,AR,45,2017,3.4
3036,AR,45,2018,3.2
3037,AR,45,2019,2.9
